%time,field.layout.data_offset,field.data0
1749437657541244504,0,292
1749437657541261352,0,292
1749437657541287582,0,292
1749437657541453455,0,293
1749437657541487356,0,291
1749437657541676638,0,291
1749437657541704281,0,292
1749437657541747525,0,292
1749437657541770983,0,292
1749437657541797766,0,292
1749437657541832638,0,292
1749437657541876213,0,288
1749437657545177129,0,291
1749437657545206676,0,290
1749437657545225974,0,292
1749437657545238240,0,292
1749437657545297330,0,293
1749437657545417301,0,291
1749437657545434088,0,292
1749437657545465519,0,292
1749437657545479676,0,292
1749437657545509923,0,292
1749437657545600267,0,292
1749437657545621542,0,292
1749437657545644846,0,292
1749437657545770044,0,291
1749437657545873190,0,292
1749437657545901623,0,292
1749437657549032806,0,293
1749437657549061578,0,292
1749437657549081239,0,292
1749437657549156889,0,292
1749437657549259392,0,291
1749437657549276119,0,291
1749437657549385597,0,294
1749437657549414031,0,292
1749437657549430354,0,293
1749437657549439587,0,291
1749437657549450861,0,292
1749437657549490482,0,292
1749437657549513993,0,292
1749437657549567947,0,291
1749437657549579609,0,291
1749437657549685689,0,292
1749437657553074986,0,292
1749437657553113323,0,292
1749437657553123629,0,291
1749437657553130957,0,292
1749437657553141641,0,293
1749437657553171630,0,292
1749437657553182662,0,291
1749437657553275522,0,293
1749437657553297374,0,297
1749437657553355290,0,292
1749437657553399490,0,292
1749437657553434084,0,293
1749437657553505322,0,293
1749437657553526028,0,292
1749437657553554450,0,284
1749437657553599861,0,291
1749437657557214977,0,294
1749437657557233425,0,292
1749437657557250954,0,292
1749437657557266197,0,292
1749437657557283371,0,291
1749437657557323680,0,292
1749437657557399137,0,292
1749437657557423225,0,292
1749437657557447979,0,292
1749437657557469710,0,292
1749437657557486659,0,293
1749437657557496819,0,293
1749437657557505017,0,292
1749437657557525213,0,292
1749437657557561613,0,293
1749437657557606941,0,293
1749437657561462428,0,292
1749437657561491171,0,292
1749437657561510911,0,292
1749437657561539901,0,292
1749437657561699236,0,292
1749437657561710490,0,292
1749437657561724605,0,293
1749437657561737435,0,292
1749437657561765387,0,292
1749437657561815911,0,292
1749437657561850126,0,293
1749437657561873288,0,292
1749437657561901220,0,292
1749437657561921027,0,292
1749437657561942276,0,291
1749437657561956639,0,291
1749437657565623858,0,292
1749437657565639444,0,292
1749437657565650524,0,292
1749437657565664229,0,291
1749437657565829259,0,291
1749437657565895226,0,291
1749437657566006322,0,292
1749437657566047318,0,291
1749437657566076855,0,291
1749437657566114784,0,292
1749437657566144287,0,292
1749437657566152785,0,292
1749437657566172803,0,292
1749437657566244379,0,290
1749437657566262706,0,292
1749437657566348834,0,292
1749437657569739439,0,293
1749437657569751478,0,292
1749437657569761956,0,292
1749437657569775985,0,292
1749437657569782694,0,292
1749437657569888462,0,292
1749437657569903878,0,292
1749437657570046834,0,292
1749437657570093835,0,292
1749437657570107060,0,292
1749437657570116738,0,292
1749437657570161113,0,292
1749437657570226440,0,292
1749437657570261823,0,292
1749437657570362225,0,291
1749437657570382103,0,291
1749437657573842460,0,293
1749437657573870650,0,292
1749437657573888722,0,292
1749437657573905216,0,292
1749437657573921362,0,292
1749437657573953570,0,291
1749437657574092899,0,295
1749437657574113988,0,292
1749437657574131536,0,292
1749437657574146904,0,292
1749437657574160424,0,292
1749437657574233269,0,297
1749437657574260590,0,292
1749437657574278811,0,293
1749437657574292227,0,292
1749437657574321427,0,292
1749437657577942400,0,292
1749437657577960118,0,292
1749437657577968641,0,290
1749437657578194362,0,292
1749437657578226901,0,292
1749437657578283220,0,292
1749437657578296534,0,292
1749437657578374490,0,293
1749437657578407579,0,292
1749437657578432327,0,293
1749437657578454202,0,292
1749437657578489396,0,292
1749437657578532716,0,292
1749437657578548320,0,292
1749437657578559941,0,290
1749437657578576748,0,292
1749437657581931161,0,291
1749437657582042653,0,292
1749437657582053487,0,291
1749437657582060343,0,292
1749437657582083714,0,292
1749437657582092939,0,292
1749437657582116644,0,292
1749437657582287058,0,292
1749437657582340061,0,293
1749437657582388419,0,292
1749437657582473852,0,292
1749437657582490363,0,292
1749437657582547943,0,292
1749437657582599148,0,291
1749437657582621246,0,293
1749437657586013446,0,292
1749437657586170165,0,292
1749437657586181142,0,294
1749437657586204890,0,292
1749437657586213953,0,292
1749437657586360901,0,292
1749437657586379854,0,292
1749437657586409784,0,291
1749437657586422677,0,292
1749437657586431375,0,292
1749437657586446408,0,292
1749437657586489722,0,292
1749437657586571626,0,292
1749437657586709193,0,292
1749437657586721322,0,292
1749437657586778222,0,292
1749437657589984459,0,293
1749437657590003321,0,294
1749437657590019435,0,292
1749437657590028421,0,291
1749437657590034409,0,292
1749437657590118006,0,292
1749437657590152860,0,292
1749437657590166335,0,291
1749437657590188328,0,293
1749437657590198882,0,292
1749437657590265686,0,292
1749437657590285296,0,293
1749437657590307248,0,293
1749437657590327225,0,292
1749437657590355225,0,292
1749437657590381159,0,292
1749437657594404180,0,292
1749437657594420240,0,292
1749437657594437210,0,292
1749437657594464094,0,291
1749437657594486246,0,292
1749437657594530312,0,288
1749437657594643282,0,292
1749437657594652174,0,292
1749437657594661683,0,292
1749437657594698843,0,293
1749437657594774504,0,292
1749437657594961779,0,292
1749437657595015664,0,292
1749437657595044422,0,292
1749437657595067141,0,291
1749437657595092661,0,291
1749437657598430720,0,292
1749437657598453591,0,291
1749437657598463360,0,293
1749437657598585684,0,291
1749437657598592564,0,292
1749437657598598536,0,292
1749437657598618936,0,292
1749437657598632400,0,292
1749437657598645388,0,292
1749437657598716316,0,292
1749437657598727905,0,293
1749437657598855146,0,292
1749437657598879450,0,292
1749437657598905572,0,291
1749437657598925488,0,292
1749437657598953931,0,292
1749437657602441432,0,293
1749437657602455004,0,292
1749437657602463355,0,292
1749437657602481710,0,293
1749437657602646090,0,291
1749437657602652790,0,292
1749437657602672755,0,292
1749437657602689318,0,292
1749437657602761985,0,292
1749437657602777949,0,292
1749437657602790336,0,292
1749437657602966285,0,292
1749437657603053721,0,292
1749437657603077746,0,292
1749437657603104204,0,292
1749437657603127311,0,292
1749437657606565355,0,292
1749437657606579410,0,292
1749437657606589621,0,292
1749437657606599881,0,291
1749437657606607911,0,291
1749437657606752648,0,293
1749437657606759845,0,292
1749437657606769931,0,292
1749437657606776166,0,291
1749437657606989670,0,292
1749437657607031680,0,293
1749437657607088754,0,292
1749437657607095721,0,292
1749437657607124679,0,294
1749437657607146502,0,292
1749437657607159448,0,292
1749437657610809728,0,292
1749437657610818549,0,293
1749437657610826277,0,292
1749437657610833653,0,292
1749437657610853389,0,292
1749437657610876975,0,293
1749437657610922700,0,292
1749437657611119206,0,292
1749437657611132294,0,292
1749437657611181355,0,292
1749437657611194831,0,292
1749437657611324348,0,292
1749437657611343447,0,292
1749437657611353413,0,292
1749437657611373514,0,289
1749437657611435252,0,292
1749437657614820663,0,293
1749437657614989458,0,292
1749437657614996421,0,291
1749437657615002394,0,290
1749437657615008489,0,293
1749437657615017235,0,292
1749437657615023824,0,292
1749437657615289154,0,292
1749437657615302056,0,292
1749437657615386162,0,292
1749437657615393602,0,292
1749437657615401058,0,291
1749437657615719196,0,293
1749437657615742482,0,292
1749437657615755335,0,292
1749437657615764958,0,291
1749437657619041587,0,293
1749437657619066388,0,291
1749437657619076810,0,294
1749437657619084853,0,291
1749437657619117258,0,293
1749437657619168266,0,293
1749437657619264276,0,292
1749437657619271411,0,292
1749437657619276648,0,292
1749437657619283400,0,292
1749437657619288735,0,292
1749437657619362198,0,292
1749437657619370480,0,292
1749437657619440322,0,292
1749437657619445567,0,291
1749437657619452381,0,292
1749437657622893223,0,291
1749437657622902168,0,292
1749437657622909991,0,292
1749437657622927199,0,292
1749437657622946792,0,292
1749437657622965688,0,291
1749437657623130259,0,292
1749437657623140112,0,288
1749437657623151073,0,294
1749437657623161053,0,291
1749437657623215096,0,291
1749437657623244092,0,291
1749437657623259174,0,293
1749437657623281412,0,291
1749437657623300965,0,292
1749437657623325373,0,292
1749437657627197088,0,294
1749437657627204030,0,292
1749437657627219080,0,294
1749437657627226300,0,293
1749437657627250899,0,292
1749437657627265285,0,293
1749437657627427151,0,293
1749437657627503652,0,291
1749437657627513346,0,292
1749437657627520419,0,292
1749437657627603387,0,291
1749437657627626131,0,292
1749437657627650147,0,291
1749437657627667214,0,292
1749437657627685974,0,291
1749437657627699401,0,292
1749437657631164438,0,291
1749437657631207671,0,292
1749437657631225210,0,292
1749437657631243394,0,291
1749437657631269809,0,292
1749437657631304678,0,292
1749437657631312334,0,292
1749437657631337683,0,294
1749437657631349666,0,292
1749437657631373063,0,292
1749437657631393857,0,292
1749437657631413587,0,292
1749437657631538294,0,292
1749437657631638497,0,292
1749437657631671982,0,292
1749437657631723566,0,292
1749437657635158315,0,293
1749437657635172161,0,292
1749437657635182221,0,292
1749437657635201055,0,293
1749437657635208528,0,292
1749437657635216575,0,291
1749437657635228473,0,292
1749437657635235077,0,292
1749437657635427793,0,292
1749437657635438863,0,292
1749437657635463328,0,293
1749437657635542110,0,292
1749437657635549974,0,292
1749437657635780905,0,292
1749437657635790922,0,291
1749437657635820152,0,292
1749437657639217934,0,292
1749437657639231824,0,292
1749437657639245421,0,292
1749437657639255549,0,292
1749437657639266611,0,292
1749437657639276154,0,291
1749437657639288724,0,292
1749437657639295771,0,293
1749437657639498037,0,292
1749437657639508420,0,292
1749437657639519513,0,292
1749437657639684117,0,292
1749437657639700678,0,292
1749437657639738707,0,291
1749437657639970145,0,291
1749437657643501637,0,292
1749437657643512477,0,291
1749437657643522506,0,288
1749437657643535527,0,292
1749437657643598637,0,293
1749437657643675694,0,292
1749437657643884262,0,291
1749437657643973896,0,291
1749437657644039512,0,293
1749437657644302476,0,293
1749437657644326474,0,292
1749437657644337151,0,292
1749437657644358609,0,292
1749437657644773976,0,291
1749437657644792828,0,292
1749437657644871131,0,292
1749437657647360014,0,292
1749437657647370850,0,291
1749437657647379888,0,292
1749437657647567898,0,292
1749437657647577150,0,292
1749437657647595719,0,292
1749437657647609976,0,293
1749437657647757444,0,292
1749437657647766625,0,292
1749437657647813213,0,292
1749437657647850976,0,292
1749437657647859203,0,293
1749437657647869167,0,293
1749437657647889112,0,292
1749437657647905650,0,291
1749437657647915414,0,292
1749437657651492508,0,293
1749437657651516839,0,292
1749437657651527503,0,291
1749437657651562042,0,292
1749437657651566951,0,291
1749437657651575019,0,292
1749437657651581620,0,292
1749437657651587029,0,292
1749437657651741083,0,292
1749437657651770185,0,292
1749437657651781363,0,292
1749437657651812527,0,292
1749437657651822209,0,293
1749437657651836504,0,292
1749437657651862819,0,292
1749437657651903348,0,290
1749437657655569566,0,292
1749437657655590311,0,293
1749437657655596920,0,292
1749437657655667092,0,294
1749437657655674660,0,292
1749437657655681893,0,291
1749437657655690063,0,292
1749437657655846416,0,292
1749437657656028435,0,291
1749437657656104921,0,292
1749437657656170575,0,292
1749437657656203926,0,293
1749437657656234055,0,292
1749437657656267481,0,293
1749437657656315166,0,292
