%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1754277410737123889,0,-144,8272,-3856,9952
1754277410739064835,0,-150,8293,-3861,9952
1754277410741238615,0,-150,8294,-3859,9953
1754277410743113459,0,-155,8285,-3850,9953
1754277410745164539,0,-154,8285,-3849,9953
1754277410747063735,0,-144,8286,-3855,9954
1754277410749161242,0,-144,8286,-3853,9954
1754277410751035108,0,-143,8286,-3851,9954
1754277410753080485,0,-142,8287,-3849,9954
1754277410755093168,0,-142,8279,-3845,9954
1754277410757148437,0,-141,8279,-3843,9954
1754277410759050265,0,-141,8296,-3834,9955
1754277410761063680,0,-140,8296,-3832,9955
1754277410763018053,0,-135,8296,-3842,9955
1754277410765011911,0,-135,8297,-3839,9956
1754277410767006982,0,-132,8297,-3837,9956
1754277410769020250,0,-131,8297,-3835,9956
1754277410770985861,0,-127,8298,-3840,9957
1754277410772988302,0,-126,8298,-3838,9957
1754277410774999679,0,-124,8299,-3846,9958
1754277410777000867,0,-123,8299,-3844,9958
1754277410779010478,0,-119,8304,-3856,9959
1754277410781004849,0,-118,8304,-3855,9959
1754277410783018834,0,-112,8309,-3842,9960
1754277410785021627,0,-111,8309,-3840,9960
1754277410787042733,0,-110,8311,-3837,9962
1754277410789058750,0,-109,8311,-3836,9962
1754277410791049349,0,-102,8312,-3845,9963
1754277410793035712,0,-100,8313,-3844,9964
1754277410795053827,0,-109,8311,-3843,9965
1754277410797054881,0,-108,8312,-3842,9966
1754277410799060187,0,-99,8309,-3853,9967
1754277410801065310,0,-97,8310,-3852,9968
1754277410803083146,0,-83,8315,-3852,9969
1754277410805075055,0,-80,8316,-3851,9970
1754277410807102883,0,-79,8318,-3851,9972
1754277410809080557,0,-78,8319,-3851,9973
1754277410811098898,0,-91,8320,-3851,9974
1754277410813089942,0,-88,8321,-3852,9975
1754277410815107888,0,-79,8323,-3852,9977
1754277410817097601,0,-76,8324,-3852,9978
1754277410819161178,0,-74,8325,-3852,9979
1754277410821114178,0,-72,8327,-3846,9981
1754277410823336867,0,-70,8328,-3846,9982
1754277410825112148,0,-70,8325,-3832,9983
1754277410827187229,0,-68,8326,-3832,9984
1754277410829117245,0,-83,8331,-3841,9985
1754277410831276707,0,-81,8332,-3842,9986
1754277410833095234,0,-67,8338,-3842,9988
1754277410835263583,0,-63,8339,-3842,9989
1754277410837081029,0,-67,8340,-3832,9990
1754277410839165410,0,-63,8341,-3832,9991
1754277410841099341,0,-66,8343,-3833,9993
1754277410843294690,0,-64,8344,-3833,9994
1754277410845081223,0,-68,8342,-3829,9995
1754277410847127680,0,-65,8343,-3829,9996
1754277410849027931,0,-74,8347,-3829,9997
1754277410851159022,0,-73,8349,-3829,9999
1754277410853035529,0,-70,8350,-3819,10000
1754277410855088160,0,-68,8352,-3819,10002
1754277410857077184,0,-71,8353,-3832,10003
1754277410859050338,0,-69,8354,-3832,10004
1754277410861063671,0,-52,8356,-3818,10006
1754277410863064827,0,-50,8358,-3817,10008
