%time,field.layout.data_offset,field.data0
1749302465067418793,0,318
1749302465067424933,0,316
1749302465067431335,0,316
1749302465067440047,0,316
1749302465067448053,0,317
1749302465067453518,0,316
1749302465067460407,0,316
1749302465067491012,0,315
1749302465067499735,0,316
1749302465067513044,0,316
1749302465067587792,0,317
1749302465067594070,0,317
1749302465071460176,0,317
1749302465071464629,0,316
1749302465071467458,0,316
1749302465071470945,0,314
1749302465071482160,0,317
1749302465071493183,0,316
1749302465071552300,0,316
1749302465071570819,0,319
1749302465071585061,0,316
1749302465071591141,0,316
1749302465071605952,0,359
1749302465071619677,0,316
1749302465071627134,0,318
1749302465071631612,0,316
1749302465071651178,0,316
1749302465075565381,0,316
1749302465075573631,0,316
1749302465075578112,0,316
1749302465075603846,0,316
1749302465075611474,0,316
1749302465075614747,0,316
1749302465075616834,0,316
1749302465075634245,0,316
1749302465075643338,0,316
1749302465075652802,0,316
1749302465075657479,0,316
1749302465075702529,0,339
1749302465075709057,0,316
1749302465075715122,0,309
1749302465075723719,0,318
1749302465075728344,0,317
1749302465079579282,0,317
1749302465079586948,0,317
1749302465079591880,0,315
1749302465079597608,0,315
1749302465079605503,0,317
1749302465079695291,0,316
1749302465079711866,0,328
1749302465079721972,0,317
1749302465079727921,0,318
1749302465079733219,0,320
1749302465079739187,0,317
1749302465079745513,0,317
1749302465079751189,0,318
1749302465079757770,0,316
1749302465079763255,0,313
1749302465079773836,0,316
1749302465083753044,0,314
1749302465083756499,0,316
1749302465083758728,0,310
1749302465083771990,0,316
1749302465083796478,0,316
1749302465083799621,0,316
1749302465083803276,0,316
1749302465083813337,0,316
1749302465083831607,0,315
1749302465083837056,0,315
1749302465083843504,0,316
1749302465083855830,0,315
1749302465083859806,0,316
1749302465083889204,0,316
1749302465083902072,0,315
1749302465087757118,0,315
1749302465087762946,0,316
1749302465087768411,0,317
1749302465087772656,0,316
1749302465087778706,0,316
1749302465087796293,0,316
1749302465087805454,0,317
1749302465087815395,0,316
1749302465087831181,0,329
1749302465087859088,0,316
1749302465087871935,0,317
1749302465087879485,0,316
1749302465087885614,0,315
1749302465087897303,0,316
1749302465087901958,0,317
1749302465087906160,0,315
1749302465091854240,0,316
1749302465091858557,0,313
1749302465091861628,0,317
1749302465091870340,0,315
1749302465091908849,0,316
1749302465091915986,0,316
1749302465091923769,0,316
1749302465091929802,0,316
1749302465091936899,0,316
1749302465091943637,0,314
1749302465091948344,0,316
1749302465091955415,0,316
1749302465091964168,0,314
1749302465091969263,0,316
1749302465091983888,0,320
1749302465095994480,0,316
1749302465096003698,0,316
1749302465096022733,0,316
1749302465096034607,0,316
1749302465096045129,0,315
1749302465096051084,0,315
1749302465096068676,0,316
1749302465096077460,0,316
1749302465096084006,0,316
1749302465096087500,0,297
1749302465096091439,0,316
1749302465096108131,0,316
1749302465096126069,0,315
1749302465096133074,0,316
1749302465096137788,0,316
1749302465096143978,0,316
1749302465100170414,0,318
1749302465100176882,0,316
1749302465100188043,0,317
1749302465100194112,0,314
1749302465100198503,0,315
1749302465100202882,0,316
1749302465100207058,0,317
1749302465100211272,0,316
1749302465100215307,0,316
1749302465100219208,0,315
1749302465100223060,0,317
1749302465104167234,0,316
1749302465104171603,0,314
1749302465104173556,0,316
1749302465104179323,0,314
1749302465104187415,0,312
1749302465104205667,0,317
1749302465104209663,0,316
1749302465104212778,0,316
1749302465104219401,0,316
1749302465104238769,0,317
1749302465104244838,0,316
1749302465108251664,0,315
1749302465108258854,0,316
1749302465108265660,0,316
1749302465108270709,0,316
1749302465108284590,0,317
1749302465108292279,0,316
1749302465108296927,0,314
1749302465108302657,0,316
1749302465108320948,0,316
1749302465108325501,0,316
1749302465108331662,0,315
1749302465108336819,0,316
1749302465108340696,0,316
1749302465108344731,0,316
1749302465108348995,0,316
1749302465112352206,0,316
1749302465112355617,0,316
1749302465112358024,0,317
1749302465112363151,0,280
1749302465112377313,0,316
1749302465112388975,0,317
1749302465112395242,0,319
1749302465112426773,0,316
1749302465112432266,0,316
