%time,field.data
1749302435451581957,4.0
1749302435461667019,4.0
1749302435471602899,4.0
1749302435481618322,4.0
1749302435491602736,4.0
1749302435501588271,4.0
1749302435511691911,4.0
1749302435521642005,4.0
1749302435531582076,4.0
1749302435541646222,4.0
1749302435551570877,4.0
1749302435561633479,4.0
1749302435571558234,4.0
1749302435581572368,4.0
1749302435591673874,4.0
1749302435601716404,4.0
1749302435611728701,4.0
1749302435621619482,4.0
1749302435631693832,4.0
1749302435641948253,4.0
1749302435651698964,4.0
1749302435661664270,4.0
1749302435671624005,4.0
1749302435681620780,4.0
1749302435691661961,4.0
1749302435701739595,4.0
1749302435711631716,4.0
1749302435721756089,4.0
1749302435731653867,4.0
1749302435741705848,4.0
1749302435751731144,4.0
1749302435761613350,4.0
1749302435771596066,4.0
1749302435781677753,4.0
1749302435791593474,4.0
1749302435801600702,4.0
1749302435811709840,4.0
1749302435821646827,4.0
1749302435831660272,4.0
1749302435841619387,4.0
1749302435851665478,4.0
1749302435861676618,4.0
1749302435871589929,4.0
1749302435881606692,4.0
1749302435891691487,4.0
1749302435901639367,4.0
1749302435911593128,4.0
1749302435921595791,4.0
1749302435931596397,4.0
1749302435941590047,4.0
1749302435951578908,4.0
1749302435961585737,4.0
1749302435971718189,4.0
1749302435981886603,4.0
1749302435991787568,4.0
1749302436001607526,4.0
1749302436011580246,4.0
1749302436021576845,4.0
1749302436031619754,4.0
1749302436041577134,4.0
1749302436051579754,4.0
1749302436061607358,4.0
1749302436071566683,4.0
1749302436081539946,4.0
1749302436091606386,4.0
1749302436101669276,4.0
1749302436111616838,4.0
1749302436121591160,4.0
1749302436131670200,4.0
1749302436141589368,4.0
1749302436151602335,4.0
1749302436161641815,4.0
1749302436171598011,4.0
1749302436181599069,4.0
1749302436191697948,4.0
1749302436201723243,4.0
1749302436211610565,4.0
1749302436221647487,4.0
1749302436231656030,4.0
1749302436241631477,4.0
1749302436251708614,4.0
1749302436261761410,4.0
1749302436271593858,4.0
1749302436281677180,4.0
1749302436291682796,4.0
1749302436301730222,4.0
1749302436311775697,4.0
1749302436321835609,4.0
1749302436331712638,4.0
1749302436341674524,4.0
1749302436351656142,4.0
1749302436361685415,4.0
1749302436371715569,4.0
1749302436381678193,4.0
1749302436391705018,4.0
1749302436401833015,4.0
1749302436411894563,4.0
1749302436421777711,4.0
1749302436431678781,4.0
1749302436441733725,4.0
1749302436451683653,4.0
1749302436461605144,4.0
1749302436471593393,4.0
1749302436481730820,4.0
1749302436491637400,4.0
1749302436501736045,4.0
1749302436511830724,4.0
1749302436521597688,4.0
1749302436531552494,4.0
1749302436541574963,4.0
1749302436551547371,4.0
1749302436561683846,4.0
1749302436571674830,4.0
1749302436581638836,4.0
1749302436591657433,4.0
1749302436601584221,4.0
1749302436611600034,4.0
1749302436621687342,4.0
1749302436631563263,4.0
1749302436641648632,4.0
1749302436651676167,4.0
1749302436661706216,4.0
1749302436671611281,4.0
1749302436681703591,4.0
1749302436691631927,4.0
1749302436701650468,4.0
1749302436711668488,4.0
1749302436721743626,4.0
1749302436731543553,4.0
1749302436741678945,4.0
1749302436751635313,4.0
1749302436761697957,4.0
1749302436771620430,4.0
1749302436781741515,4.0
1749302436791673499,4.0
1749302436801628875,4.0
1749302436811673656,4.0
1749302436821650643,4.0
1749302436831694712,4.0
1749302436841699546,4.0
1749302436851602749,4.0
1749302436861641199,4.0
1749302436871602059,4.0
1749302436881938844,4.0
1749302436891644665,4.0
1749302436901698476,4.0
1749302436911627747,4.0
1749302436921679682,4.0
1749302436931595081,4.0
1749302436941575668,4.0
1749302436951578335,4.0
1749302436961711526,4.0
1749302436971586442,4.0
1749302436981616379,4.0
1749302436991621456,4.0
1749302437001557463,4.0
1749302437011588970,4.0
1749302437021550293,4.0
1749302437031569958,4.0
1749302437041671925,4.0
1749302437051812522,4.0
1749302437061849832,4.0
1749302437071565468,4.0
1749302437081730240,4.0
1749302437091816907,4.0
1749302437101615564,4.0
1749302437111534143,4.0
1749302437121589833,4.0
1749302437131570788,4.0
1749302437141612534,4.0
1749302437151553544,4.0
1749302437161574681,4.0
1749302437171603312,4.0
1749302437181731538,4.0
1749302437191614972,4.0
1749302437201733830,4.0
1749302437211594091,4.0
1749302437221685411,4.0
1749302437231547930,4.0
1749302437241677015,4.0
1749302437251590216,4.0
1749302437261609784,4.0
1749302437271634970,4.0
1749302437281721371,4.0
1749302437291650435,4.0
1749302437301627551,4.0
1749302437311640740,4.0
1749302437321628285,4.0
1749302437331653846,4.0
1749302437341589480,4.0
1749302437351601894,4.0
1749302437361622254,4.0
1749302437371689775,4.0
1749302437381649018,4.0
1749302437391636429,4.0
1749302437401753539,4.0
1749302437411699119,4.0
1749302437421670406,4.0
1749302437431686218,4.0
1749302437441696642,4.0
1749302437451613923,4.0
1749302437461687898,4.0
1749302437471661894,4.0
1749302437481656649,4.0
1749302437491589683,4.0
1749302437501557963,4.0
1749302437511606495,4.0
1749302437521634232,4.0
1749302437531585496,4.0
1749302437541573588,4.0
1749302437551550963,4.0
1749302437561614767,4.0
1749302437571722990,4.0
1749302437581663246,4.0
1749302437591730650,4.0
1749302437601600812,4.0
1749302437611555286,4.0
1749302437621584637,4.0
1749302437631566546,4.0
1749302437641581390,4.0
1749302437651550521,4.0
1749302437661607799,4.0
1749302437671668715,4.0
1749302437681691242,4.0
1749302437691578446,4.0
1749302437701727082,4.0
1749302437711547428,4.0
1749302437721609964,4.0
1749302437731557055,4.0
1749302437741655167,4.0
1749302437751569755,4.0
1749302437761710659,4.0
1749302437771746084,4.0
1749302437781677817,4.0
1749302437791711343,4.0
1749302437801799863,4.0
1749302437811567403,4.0
1749302437821663933,4.0
1749302437831641294,4.0
1749302437841554044,4.0
1749302437851579590,4.0
1749302437861759464,4.0
