%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1750041702449578520,0,11578,90,-503,-2038
1750041702451584386,0,11589,90,-508,-2038
1750041702453567364,0,11588,89,-508,-2038
1750041702455576207,0,11577,89,-509,-2039
1750041702457644974,0,11577,89,-507,-2038
1750041702459533682,0,11563,89,-503,-2038
1750041702461512507,0,11563,89,-504,-2039
1750041702463497232,0,11562,89,-507,-2038
1750041702465574655,0,11563,90,-507,-2037
1750041702467566364,0,11586,90,-511,-2037
1750041702469562371,0,11586,90,-511,-2037
1750041702471558648,0,11580,90,-502,-2037
1750041702473537838,0,11580,90,-502,-2037
1750041702475597955,0,11547,90,-518,-2037
1750041702477546853,0,11546,89,-518,-2037
1750041702479571980,0,11575,89,-507,-2037
1750041702481576791,0,11575,89,-507,-2037
1750041702483582913,0,11561,89,-550,-2037
1750041702485608718,0,11561,89,-551,-2037
1750041702487604955,0,11578,89,-512,-2037
1750041702489590080,0,11578,89,-512,-2037
1750041702491604062,0,11569,89,-508,-2037
1750041702493672548,0,11569,89,-508,-2037
1750041702495580183,0,11584,89,-509,-2038
1750041702497537689,0,11584,89,-509,-2038
1750041702499527893,0,11595,89,-518,-2038
1750041702501536455,0,11595,89,-518,-2038
1750041702503556425,0,11584,89,-499,-2038
1750041702505557864,0,11584,89,-499,-2038
1750041702507580221,0,11595,89,-513,-2038
1750041702509572208,0,11595,89,-513,-2038
1750041702511591580,0,11573,89,-508,-2038
1750041702513573092,0,11573,89,-508,-2038
1750041702515608064,0,11573,89,-508,-2038
1750041702517603475,0,11579,89,-512,-2038
1750041702519583602,0,11579,89,-512,-2038
1750041702521590575,0,11575,89,-517,-2038
1750041702523717794,0,11575,89,-517,-2038
1750041702525693444,0,11587,89,-513,-2038
1750041702527593455,0,11587,89,-513,-2038
1750041702529548225,0,11584,89,-507,-2037
1750041702531573032,0,11584,89,-508,-2038
1750041702533554799,0,11584,89,-508,-2038
1750041702535635128,0,11584,89,-508,-2038
1750041702537574503,0,11548,89,-519,-2038
1750041702539679974,0,11548,89,-519,-2038
1750041702541593922,0,11539,89,-512,-2038
1750041702543623175,0,11539,89,-512,-2038
1750041702545606373,0,11578,89,-507,-2038
1750041702547666530,0,11578,89,-507,-2038
1750041702549619974,0,11574,89,-517,-2038
1750041702551623911,0,11574,89,-517,-2038
1750041702553566072,0,11587,88,-531,-2038
1750041702555665259,0,11587,88,-531,-2038
1750041702557584961,0,11582,88,-513,-2038
1750041702559577609,0,11582,88,-513,-2038
1750041702561550291,0,11573,87,-513,-2038
1750041702563634888,0,11572,87,-513,-2038
1750041702565563926,0,9355,87,338,-2038
1750041702567544510,0,11570,87,-513,-2038
1750041702569574650,0,11577,87,-513,-2038
1750041702571576292,0,11577,87,-513,-2038
1750041702573579727,0,11592,87,-508,-2038
1750041702575560574,0,11593,87,-508,-2038
1750041702577578225,0,11573,87,-499,-2038
1750041702579551400,0,11573,87,-498,-2038
1750041702581574895,0,11573,87,-512,-2038
1750041702583568517,0,11573,87,-512,-2038
1750041702585585365,0,11584,87,-507,-2037
1750041702587625236,0,11583,86,-507,-2037
1750041702589556843,0,11583,86,-507,-2037
1750041702591639958,0,11583,86,-507,-2037
1750041702593621647,0,11583,86,-544,-2037
1750041702595568022,0,11583,86,-544,-2037
1750041702597513684,0,11569,86,-516,-2037
1750041702599562343,0,11569,86,-516,-2037
1750041702601618387,0,11569,86,-517,-2038
1750041702603594191,0,11583,86,-513,-2038
1750041702605568641,0,11583,86,-513,-2038
1750041702607554463,0,11582,86,-513,-2038
1750041702609803468,0,11582,86,-513,-2038
1750041702611618631,0,11553,86,-513,-2038
1750041702613633840,0,11552,86,-513,-2038
1750041702615592250,0,11586,86,-507,-2038
1750041702617611151,0,11586,86,-507,-2038
1750041702619589333,0,11575,86,-545,-2038
1750041702621634958,0,11575,86,-545,-2038
1750041702623613041,0,11592,86,-528,-2038
1750041702625714735,0,11592,86,-528,-2038
1750041702627620380,0,11572,86,-514,-2038
