%time,field.layout.data_offset,field.data3,field.data1,field.data2,field.data0,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1747548034041186774,0,507,0,652,543,271,0,320,510,621,692,692,489
1747548034139780515,0,508,0,652,544,271,0,320,511,621,692,690,488
1747548034241754050,0,508,0,653,546,270,0,321,510,621,692,692,489
1747548034340232396,0,506,0,653,545,271,0,321,512,621,692,692,488
1747548034438676777,0,508,0,652,545,271,0,321,511,621,691,691,488
1747548034540991614,0,508,0,652,545,271,0,320,511,621,693,692,488
1747548034639477854,0,508,0,653,547,271,0,321,511,620,692,691,488
1747548034741692958,0,508,0,652,544,270,0,321,510,621,692,691,489
1747548034839860207,0,509,0,653,545,270,0,320,511,621,692,691,488
1747548034938358365,0,508,0,652,547,271,0,321,510,620,692,690,488
1747548035040727016,0,508,0,652,547,271,0,320,508,620,692,690,487
1747548035138899000,0,509,0,653,545,271,0,320,510,620,691,691,488
1747548035241309888,0,507,0,653,546,270,0,320,511,620,692,691,488
1747548035339952060,0,508,0,653,548,270,0,320,511,620,692,690,488
1747548035437935404,0,508,0,652,544,270,0,320,510,619,691,689,488
1747548035540454974,0,509,0,651,546,271,0,319,509,620,690,690,487
1747548035638636987,0,507,1,653,549,271,0,320,510,619,690,688,488
1747548035740292428,0,507,0,653,546,271,0,320,510,620,690,689,486
1747548035839550563,0,509,0,652,548,271,0,321,509,619,689,689,486
1747548035941775568,0,508,0,652,547,270,0,320,509,619,690,689,486
1747548036040231749,0,507,0,652,550,271,0,320,510,619,687,688,487
1747548036138709253,0,506,0,652,550,270,0,318,510,619,689,688,486
1747548036240717896,0,508,0,652,550,270,0,320,509,618,690,687,486
1747548036339032398,0,510,0,651,550,271,0,320,507,618,687,688,485
1747548036441183488,0,505,2,653,548,272,0,318,508,617,688,687,483
1747548036539533643,0,507,0,652,548,270,0,319,507,616,687,686,485
1747548036638007673,0,512,0,652,551,271,0,320,510,619,688,687,486
1747548036740503468,0,505,0,653,552,273,0,317,509,618,687,687,483
1747548036838588919,0,511,0,652,547,270,0,319,509,618,688,689,485
1747548036941268944,0,511,0,651,554,271,0,321,510,619,689,687,486
1747548037039581400,0,511,0,651,550,270,0,319,508,619,687,686,487
1747548037141856840,0,507,0,651,548,271,0,321,509,619,689,688,485
1747548037240260786,0,508,0,654,549,271,0,320,509,618,688,687,486
1747548037338670705,0,509,0,653,550,270,0,320,509,619,687,687,485
1747548037440857030,0,508,0,652,551,270,0,320,510,619,687,687,486
1747548037539354421,0,509,0,652,547,271,0,319,509,619,688,688,486
1747548037641521526,0,508,0,652,550,271,0,320,509,620,688,688,486
1747548037739883912,0,507,0,652,549,271,0,320,509,620,688,689,486
1747548037838321799,0,508,0,650,550,271,0,321,510,620,689,688,486
1747548037940530522,0,508,0,653,552,270,0,321,510,619,688,690,487
1747548038039185707,0,506,0,653,551,267,0,318,510,622,689,689,487
1747548038141312367,0,508,0,651,553,270,0,322,510,620,690,688,488
1747548038239582709,0,509,0,651,552,272,0,321,510,621,690,690,488
1747548038337654128,0,510,0,652,553,271,0,320,511,622,690,690,488
1747548038439829931,0,507,1,654,552,268,0,321,511,622,691,692,489
1747548038538400862,0,508,0,653,549,271,0,320,511,622,692,691,489
1747548038640829997,0,508,0,654,554,270,0,322,511,623,691,692,490
1747548038739166524,0,506,1,653,556,271,0,321,512,624,693,694,489
1747548038841386928,0,509,0,652,550,272,0,322,514,624,693,693,490
1747548038939871231,0,509,0,652,553,270,0,323,513,625,694,694,491
1747548039038357060,0,507,0,653,552,271,0,321,513,624,694,692,490
1747548039140732959,0,509,0,651,554,271,0,322,513,624,695,695,491
1747548039238832314,0,509,0,653,555,271,0,322,513,624,695,694,490
1747548039341041324,0,508,0,652,553,271,0,325,515,625,695,695,492
1747548039439482189,0,507,0,654,556,270,0,322,514,626,696,696,491
1747548039538166754,0,507,0,652,555,270,0,324,515,626,695,697,492
1747548039640261510,0,508,0,652,552,272,0,324,514,627,697,697,493
1747548039738741757,0,508,0,652,554,271,0,324,515,627,697,696,493
1747548039840819436,0,508,0,651,554,270,0,321,514,627,697,698,494
1747548039939544651,0,507,0,652,553,271,0,324,516,628,698,697,493
1747548040041573753,0,508,0,652,554,272,0,325,516,628,698,699,494
1747548040140304094,0,508,0,662,556,270,0,326,517,629,699,699,494
1747548040238494030,0,509,0,652,556,270,0,325,517,629,700,699,494
1747548040340477295,0,510,0,653,555,270,0,325,517,629,701,700,495
1747548040439386912,0,499,0,653,556,271,0,325,518,631,700,700,495
1747548040541408879,0,507,0,652,559,270,0,324,517,630,701,701,495
1747548040639808050,0,507,0,651,556,269,0,326,518,630,702,700,495
1747548040738471403,0,510,0,652,557,273,0,327,518,629,701,700,496
1747548040840565720,0,508,0,654,556,271,0,326,518,631,702,701,495
1747548040938957525,0,506,2,653,556,271,0,325,518,631,701,701,495
1747548041040994602,0,509,0,650,557,270,0,326,518,630,703,702,496
1747548041139557646,0,509,0,653,559,271,0,326,519,631,703,703,496
1747548041241671711,0,509,0,651,551,273,0,327,518,632,704,703,498
1747548041340178889,0,508,0,653,554,270,0,327,520,634,706,704,498
1747548041438965273,0,508,0,653,559,272,0,327,519,633,705,705,497
1747548041540976459,0,508,0,653,557,272,0,327,519,632,706,705,498
1747548041639578166,0,508,2,653,556,270,0,328,521,634,706,705,498
1747548041741333984,0,510,0,652,558,270,0,327,521,633,706,706,499
1747548041839729915,0,508,0,650,557,271,0,327,520,634,706,705,500
1747548041937952223,0,508,1,652,556,270,0,327,520,634,706,704,499
1747548042040374614,0,508,0,652,557,270,0,328,520,633,706,706,500
1747548042138576505,0,508,0,650,557,271,0,329,522,634,707,705,499
1747548042240977797,0,507,0,653,557,271,0,327,521,634,706,705,498
1747548042339527563,0,509,0,652,556,270,0,327,520,633,707,706,499
1747548042438118164,0,509,1,652,557,272,0,327,521,633,707,705,499
1747548042540549941,0,508,0,653,558,270,0,327,520,633,706,705,499
1747548042638917362,0,508,0,652,558,271,0,327,520,634,706,705,499
1747548042740645838,0,504,0,653,560,271,0,328,520,634,707,705,499
1747548042839232155,0,508,18,653,561,271,0,327,519,632,706,705,499
1747548042941850346,0,509,0,652,557,271,0,329,521,634,707,705,499
1747548043039825758,0,508,0,652,560,271,0,328,521,633,706,705,498
1747548043138149438,0,506,0,652,559,270,0,327,520,633,707,706,498
1747548043240773633,0,507,0,653,560,271,0,327,520,634,706,704,498
1747548043338778954,0,508,0,652,561,269,0,326,520,633,706,704,498
1747548043441505158,0,508,0,657,561,271,0,327,519,632,707,706,499
1747548043539824097,0,507,0,653,563,270,0,327,521,633,706,704,498
1747548043638509794,0,509,0,653,561,271,0,326,519,632,707,705,499
1747548043740576352,0,510,0,652,562,269,0,327,520,632,707,705,499
1747548043838724649,0,509,0,653,562,270,0,327,519,632,707,705,499
1747548043941231583,0,508,0,652,562,269,0,327,518,632,707,704,499
1747548044039796024,0,508,0,653,562,269,0,327,519,633,706,705,500
1747548044141979942,0,508,0,652,563,271,0,327,519,633,707,704,498
1747548044240448025,0,507,0,652,568,271,0,327,519,631,706,705,499
1747548044338800682,0,509,0,653,564,271,0,320,516,631,705,704,498
1747548044440820341,0,507,0,652,556,270,0,323,517,631,704,703,498
1747548044538986472,0,509,0,652,567,273,0,325,518,630,705,704,497
1747548044641710492,0,508,0,653,564,270,0,326,519,632,705,703,497
1747548044739996768,0,508,0,653,560,266,0,326,518,631,705,704,497
1747548044838198352,0,508,0,651,564,270,0,325,518,631,705,704,498
1747548044940725527,0,507,0,653,565,271,0,327,519,631,704,702,497
1747548045039110528,0,508,0,653,566,270,0,326,518,630,704,703,498
1747548045140960282,0,509,0,652,566,271,0,325,517,631,704,702,497
1747548045239563287,0,508,1,654,566,276,0,325,517,630,703,701,496
1747548045341758650,0,509,1,650,561,272,0,324,517,628,704,702,496
1747548045440510782,0,508,0,652,563,271,0,324,516,628,703,701,496
1747548045538794829,0,510,0,658,567,272,0,324,516,629,702,700,496
1747548045641053551,0,507,0,652,564,270,0,324,516,628,703,701,496
1747548045739503689,0,507,0,649,566,270,0,324,516,627,702,700,495
